player_sum,dealer_card,usable_ace,q_value
18,7,0,[ 0.35677255 -0.19435688  0.00299302 -0.00448204 -0.00598201]
14,7,0,[-0.35802525 -0.24303698 -0.05625984 -0.07988813 -0.0815042 ]
21,10,0,[ 0.88237267 -0.61119237  0.          0.          0.        ]
18,10,0,[-0.27154091 -0.58917753 -0.27140407 -0.27111554 -0.27868132]
14,2,0,[-0.27951538 -0.32500706 -0.10535189 -0.10751944 -0.09925357]
22,10,0,[0. 0. 0. 0. 0.]
12,10,0,[-0.51314689 -0.29750686 -0.30838766 -0.30940976 -0.31347329]
12,2,0,[-0.22172    -0.13382845 -0.10436707 -0.10357296 -0.10358653]
6,6,0,[-0.00376303  0.10105503 -0.00896011 -0.00299251  0.00598802]
12,6,1,"[ 1.96158198e-03  1.28784527e-02  4.15645969e-01 -4.97755990e-03
  7.99399002e-06]"
30,10,0,[0. 0. 0. 0. 0.]
20,10,0,[ 0.41885682 -0.67344693 -0.07951971 -0.2245765  -0.7479062 ]
14,1,0,[-0.53509918 -0.41844322 -0.1872269  -0.18663318 -0.18643886]
21,1,1,[0.63204133 0.02560161 0.         0.         0.        ]
16,1,0,[-0.61648431 -0.55953039 -0.1877588  -0.18757234 -0.18907297]
20,2,0,[ 0.65271778 -0.21523341  0.02497424 -0.07735861 -0.25344095]
20,4,0,[ 0.64111127 -0.2206393   0.0367696  -0.07481386 -0.22235291]
20,1,0,[ 0.1174824  -0.29497886 -0.07212523 -0.06622019 -0.24916767]
10,1,0,[-0.11731071  0.03222159 -0.01095611 -0.00497756 -0.003996  ]
8,1,0,[-0.08946472 -0.05819859 -0.0573485  -0.05745283 -0.05864957]
20,6,0,[ 0.71604825 -0.21894715  0.06768445 -0.07053852 -0.21491147]
28,10,0,[0. 0. 0. 0. 0.]
8,4,0,[-0.02568377  0.11195165  0.00098015 -0.00646114 -0.002002  ]
26,9,0,[0. 0. 0. 0. 0.]
16,9,0,[-0.49034697 -0.44764025 -0.15474354 -0.15504207 -0.15543622]
11,6,0,[-0.00631301  0.35733437  0.          0.          0.        ]
17,3,0,[-0.12329319 -0.23961173  0.          0.          0.        ]
12,5,0,[-0.13014178 -0.15540237 -0.07731718 -0.07735861 -0.07759806]
19,3,0,[ 0.41538512 -0.21281652  0.          0.          0.        ]
27,3,0,[0. 0. 0. 0. 0.]
20,3,0,[ 0.62392877 -0.23340685  0.06912729 -0.07010863 -0.20292162]
15,10,0,[-0.52092162 -0.48201879  0.          0.          0.        ]
15,10,1,[-0.12709145  0.05619541  0.          0.          0.        ]
15,5,0,[-0.15121599 -0.24228839  0.          0.          0.        ]
13,5,0,[-0.11350673 -0.20237402  0.          0.          0.        ]
25,5,0,[0. 0. 0. 0. 0.]
17,10,0,[-0.44672101 -0.59218324  0.          0.          0.        ]
29,7,0,[0. 0. 0. 0. 0.]
19,7,0,[ 0.62353106 -0.24692676  0.          0.          0.        ]
17,1,0,[-0.63888389 -0.64705036  0.          0.          0.        ]
10,10,0,[-0.30622489  0.09877813 -0.02758414 -0.02057518  0.01785479]
8,10,0,[-0.22855904 -0.13770836 -0.14521621 -0.14417537 -0.14790037]
14,6,0,[-0.11124785 -0.2079792  -0.06452935 -0.07862527 -0.07970526]
16,10,0,[-0.58312186 -0.52789707 -0.41564497 -0.42121804 -0.42335718]
11,10,0,[-0.32539248  0.21464876  0.          0.          0.        ]
18,4,0,[ 0.15069054 -0.19056446  0.00198802 -0.00497756 -0.005996  ]
15,4,0,[-0.20705441 -0.26764703  0.          0.          0.        ]
14,8,1,[-0.03225663  0.13601244  0.          0.          0.        ]
23,10,0,[0. 0. 0. 0. 0.]
19,10,0,[-0.02353323 -0.61782687  0.          0.          0.        ]
12,8,0,[-0.26456547 -0.1265752  -0.13091435 -0.13038682 -0.13083692]
29,6,0,[0. 0. 0. 0. 0.]
14,8,0,[-0.38300907 -0.2464291  -0.15950611 -0.15779209 -0.15825185]
14,10,0,[-0.54018628 -0.38159304 -0.418357   -0.4153335  -0.41774382]
25,10,0,[0. 0. 0. 0. 0.]
19,4,0,[ 0.38170005 -0.19126813  0.          0.          0.        ]
13,4,0,[-0.24814975 -0.21130621  0.          0.          0.        ]
26,2,0,[0. 0. 0. 0. 0.]
17,2,0,[-0.14941993 -0.28696877  0.          0.          0.        ]
27,10,0,[0. 0. 0. 0. 0.]
12,3,0,[-0.18210148 -0.17706149 -0.12175647 -0.12102528 -0.11845574]
22,3,0,[0. 0. 0. 0. 0.]
15,8,0,[-0.41943919 -0.35054501  0.          0.          0.        ]
12,3,1,"[-7.11144135e-05  9.42607655e-03  3.10439543e-01 -3.98602797e-03
 -5.98803193e-03]"
21,3,0,[ 0.84287867 -0.12260049  0.          0.          0.        ]
13,10,0,[-0.51971503 -0.3614177   0.          0.          0.        ]
26,10,0,[0. 0. 0. 0. 0.]
7,6,0,[-0.00853965  0.08740938  0.          0.          0.        ]
25,7,0,[0. 0. 0. 0. 0.]
15,7,0,[-0.39573286 -0.32452966  0.          0.          0.        ]
15,1,0,[-0.58821306 -0.51747105  0.          0.          0.        ]
15,1,1,[-0.03508365  0.03315083  0.          0.          0.        ]
12,7,0,[-0.26194174 -0.10375184 -0.08867504 -0.09393874 -0.09632582]
13,1,0,[-0.46113875 -0.36731427  0.          0.          0.        ]
20,1,1,[0.15696242 0.00296094 0.         0.         0.        ]
23,1,0,[0. 0. 0. 0. 0.]
24,10,0,[0. 0. 0. 0. 0.]
25,8,0,[0. 0. 0. 0. 0.]
15,2,0,[-0.28725392 -0.33361641  0.          0.          0.        ]
23,3,0,[0. 0. 0. 0. 0.]
13,3,0,[-0.29757036 -0.22374573  0.          0.          0.        ]
9,10,0,[-0.25280921 -0.05136302  0.          0.          0.        ]
13,9,0,[-0.35671091 -0.27386954  0.          0.          0.        ]
23,2,0,[0. 0. 0. 0. 0.]
13,2,0,[-0.25545503 -0.2456492   0.          0.          0.        ]
21,10,1,[0.88722307 0.13180579 0.         0.         0.        ]
18,5,0,[ 0.17837272 -0.17897905  0.00695611 -0.00596711 -0.01394408]
17,5,0,[-0.05723387 -0.21069142  0.          0.          0.        ]
26,5,0,[0. 0. 0. 0. 0.]
14,4,0,[-0.19445974 -0.27599848 -0.05772737 -0.05612253 -0.05625698]
20,10,1,[0.42027321 0.03505158 0.         0.         0.        ]
23,7,0,[0. 0. 0. 0. 0.]
16,7,0,[-0.42788123 -0.36296421  0.09664852 -0.00646114 -0.00597803]
13,6,0,[-0.15283939 -0.19412308  0.          0.          0.        ]
10,2,0,[-0.05913807  0.27866534 -0.01193824 -0.00398603  0.00395611]
15,3,0,[-0.27377471 -0.32769306  0.          0.          0.        ]
13,5,1,[-0.00984885  0.14865075  0.          0.          0.        ]
20,8,1,[0.76900801 0.02403656 0.         0.         0.        ]
17,4,0,[-0.10163977 -0.23245065  0.          0.          0.        ]
23,4,0,[0. 0. 0. 0. 0.]
19,1,0,[-0.10677496 -0.34113274  0.          0.          0.        ]
16,2,1,[-0.02214881  0.10545473  0.          0.          0.        ]
22,1,0,[0. 0. 0. 0. 0.]
22,4,0,[0. 0. 0. 0. 0.]
12,1,0,[-0.42906862 -0.29724274 -0.18661654 -0.1863195  -0.18692328]
8,8,0,[-0.05307799  0.10440303 -0.00398404 -0.00448204 -0.01795875]
16,4,0,[-0.19362663 -0.27133292  0.02503621 -0.01623871 -0.01981891]
21,4,1,[0.88374462 0.06439022 0.         0.         0.        ]
27,4,0,[0. 0. 0. 0. 0.]
15,6,0,[-0.13726093 -0.17722275  0.          0.          0.        ]
21,4,0,[ 0.858278   -0.13047402  0.          0.          0.        ]
31,4,0,[0. 0. 0. 0. 0.]
23,5,0,[0. 0. 0. 0. 0.]
14,3,0,[-0.25986113 -0.30097792 -0.08458209 -0.0943448  -0.09530521]
7,10,0,[-0.1992883  -0.06146975  0.          0.          0.        ]
24,6,0,[0. 0. 0. 0. 0.]
22,6,0,[0. 0. 0. 0. 0.]
17,6,0,[ 0.04997897 -0.17436506  0.          0.          0.        ]
19,5,0,[ 0.40634023 -0.19322304  0.          0.          0.        ]
5,10,0,[-0.10890455 -0.04570459  0.          0.          0.        ]
18,8,0,[ 0.09437071 -0.19742367 -0.00599001 -0.00448204 -0.01587454]
29,2,0,[0. 0. 0. 0. 0.]
20,9,1,[0.05882109 0.2748499  0.         0.         0.        ]
11,4,0,[-0.02789202  0.3513023   0.          0.          0.        ]
20,7,0,[ 0.76729513 -0.27747904  0.0883636  -0.06054138 -0.21954514]
18,9,0,[-0.18176474 -0.33237097 -0.13539346 -0.13479787 -0.1354294 ]
16,6,0,[-0.15911667 -0.22839171  0.09756881 -0.00744773 -0.01393423]
28,2,0,[0. 0. 0. 0. 0.]
20,6,1,[0.64682713 0.03128293 0.         0.         0.        ]
19,10,1,[-0.01370688  0.01554196  0.          0.          0.        ]
29,10,0,[0. 0. 0. 0. 0.]
18,3,0,"[ 1.44746600e-01 -1.99781546e-01 -4.97109971e-03 -3.98602797e-03
  5.98801399e-06]"
31,10,0,[0. 0. 0. 0. 0.]
